Accident_Index,Accident_Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_District,Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901BS70020,09-01-2021,Friday,JC_1,Crossroads,Slight,51.506187,Daylight,Newham,H1,-0.209082,1,19,Metropolitan Police,Wet or damp,R2,30,08:15,Urban,W2,Car
200901BS70021,17-01-2021,Saturday,JC_1,T or staggered junction,Slight,51.493077,Daylight,London Airport (Heathrow),H1,-0.169548,1,2,Metropolitan Police,Dry,R2,30,12:15,Urban,W1,Car
200901BS70023,25-01-2021,Sunday,JC_2,Crossroads,Slight,51.482076,Darkness - lights lit,Hillingdon,H1,-0.173445,1,2,Metropolitan Police,Dry,R2,30,22:05,Urban,W1,Taxi/Private hire car
200901BS70024,26-01-2021,Monday,JC_1,Crossroads,Slight,51.488673,Darkness - lights lit,Redbridge,H1,-0.169724,1,2,Metropolitan Police,Dry,R2,30,17:30,Urban,W3,Car
200901BS70025,26-01-2021,Monday,JC_3,Crossroads,Serious,51.482363,Darkness - lights lit,Barking and Dagenham,H1,-0.186108,1,2,Metropolitan Police,Dry,R2,30,17:05,Urban,W1,Car
200901BS70026,19-01-2021,Monday,JC_1,Not at junction or within 20 metres,Slight,51.49391,Daylight,Havering,H1,-0.176861,1,2,Metropolitan Police,Wet or damp,R2,30,14:27,Urban,W1,Motorcycle over 500cc
200901BS70027,27-01-2021,Tuesday,JC_3,T or staggered junction,Slight,51.509296,Darkness - lights lit,Lambeth,H1,-0.194837,1,2,Metropolitan Police,Dry,R2,30,00:28,Urban,W1,Car
200901BS70028,21-01-2021,Wednesday,JC_1,T or staggered junction,Slight,51.50228,Darkness - lights lit,Croydon,H1,-0.188919,1,2,Metropolitan Police,Wet or damp,R2,30,23:15,Urban,W1,Car
200901BS70030,22-01-2021,Thursday,JC_1,Crossroads,Slight,51.507588,Darkness - lights lit,Wandsworth,H1,-0.194905,1,2,Metropolitan Police,Wet or damp,R2,30,23:15,Urban,W1,Car
200901BS70031,31-01-2021,Saturday,JC_2,Crossroads,Slight,51.488585,Daylight,Bromley,H1,-0.193063,2,2,Metropolitan Police,Dry,R2,30,14:20,Urban,W1,Car
200901BS70032,31-01-2021,Saturday,JC_1,Not at junction or within 20 metres,Slight,51.499201,Daylight,Lewisham,H1,-0.164404,2,1,Metropolitan Police,Dry,R2,30,22:30,Urban,W3,Car
200901BS70033,31-01-2021,Saturday,JC_1,T or staggered junction,Serious,51.517081,Darkness - lights lit,Greenwich,H1,-0.204042,2,1,Metropolitan Police,Dry,R2,30,13:50,Urban,W3,Car
200901BS70035,29-01-2021,Thursday,JC_2,Not at junction or within 20 metres,Slight,51.48944,Daylight,Bexley,H1,-0.190148,1,2,Metropolitan Police,Dry,R2,30,08:20,Urban,W1,Car
200901BS70036,31-01-2021,Saturday,JC_1,T or staggered junction,Serious,51.494521,Daylight,Harrow,H1,-0.158397,1,1,Metropolitan Police,Dry,R2,30,12:03,Urban,W2,Car
200901BS70037,29-01-2021,Thursday,JC_2,T or staggered junction,Slight,51.508624,Daylight,Enfield,H1,-0.203799,1,2,Metropolitan Police,Dry,R2,30,15:50,Urban,W1,Van / Goods 3.5 tonnes mgw or under
200901BS70039,31-01-2021,Saturday,JC_2,Crossroads,Slight,51.491173,Daylight,Sutton,H1,-0.18014,1,2,Metropolitan Police,Wet or damp,R2,30,01:01,Urban,W1,Car
200901BS70040,28-01-2021,Wednesday,JC_1,T or staggered junction,Slight,51.495478,Darkness - lights lit,Merton,H1,-0.202731,1,2,Metropolitan Police,Wet or damp,R1,30,07:45,Urban,W1,Car
200901BS70041,27-01-2021,Tuesday,JC_2,T or staggered junction,Slight,51.495658,Daylight,Kingston upon Thames,H1,-0.173622,1,2,Metropolitan Police,Dry,R2,30,12:30,Urban,W1,Car
200901BS70042,31-01-2021,Saturday,JC_1,Crossroads,Slight,51.499727,Daylight,Richmond upon Thames,H1,-0.163518,1,2,Metropolitan Police,Dry,R3,30,10:08,Urban,W1,Car
200901BS70043,22-01-2021,Thursday,JC_1,Crossroads,Serious,51.507802,Daylight,Eden,H1,-0.202966,1,1,Metropolitan Police,Wet or damp,R2,30,16:19,Urban,W1,Car
200901BS70044,29-01-2021,Thursday,JC_2,Crossroads,Slight,51.508972,Darkness - lights lit,Copeland,H1,-0.197156,1,2,Metropolitan Police,Dry,R2,30,20:35,Urban,W3,Car
200901BS70045,20-01-2021,Tuesday,JC_2,Crossroads,Slight,51.513036,Darkness - lights lit,South Lakeland,H1,-0.204201,1,1,Metropolitan Police,Dry,R2,30,13:27,Urban,W1,Car
200901BS70047,17-01-2021,Saturday,JC_1,T or staggered junction,Slight,51.512443,Daylight,Barrow-in-Furness,H1,-0.206531,1,1,Metropolitan Police,Wet or damp,R2,30,11:00,Urban,W1,Car
200901BS70049,15-01-2021,Thursday,JC_1,Crossroads,Slight,51.491908,Daylight,Allerdale,H1,-0.192787,1,1,Metropolitan Police,Dry,R2,30,11:30,Urban,W1,Car
200901BS70050,09-02-2021,Monday,JC_3,T or staggered junction,Slight,51.497811,Daylight,Carlisle,H1,-0.202351,1,2,Metropolitan Police,Wet or damp,R2,30,09:15,Urban,W1,Car
200901BS70051,28-01-2021,Wednesday,JC_1,T or staggered junction,Serious,51.486273,Daylight,Fylde,H1,-0.171549,1,2,Metropolitan Police,Wet or damp,R2,30,11:15,Urban,W1,Car
200901BS70052,23-01-2021,Friday,JC_3,T or staggered junction,Slight,51.500738,Daylight,Blackpool,H1,-0.193879,2,1,Metropolitan Police,Wet or damp,R2,30,11:15,Urban,W1,Car
200901BS70053,26-01-2021,Monday,JC_1,T or staggered junction,Slight,51.50012,Daylight,Wyre,H1,-0.1599,1,1,Metropolitan Police,Dry,R2,30,14:40,Urban,W1,Car
200901BS70054,03-02-2021,Tuesday,JC_1,Crossroads,Slight,51.49209,Daylight,Lancaster,H1,-0.192924,1,2,Metropolitan Police,Dry,R1,30,09:58,Urban,W3,Car
200901BS70055,10-02-2021,Tuesday,JC_1,T or staggered junction,Slight,51.49105,Daylight,Chorley,H1,-0.160698,1,2,Metropolitan Police,Wet or damp,R1,30,08:10,Urban,W3,Car
200901BS70056,30-01-2021,Friday,JC_2,Not at junction or within 20 metres,Slight,51.504672,Daylight,West Lancashire,H1,-0.215914,1,2,Metropolitan Police,Dry,R3,30,08:28,Urban,W1,Car
200901BS70057,28-01-2021,Wednesday,JC_3,T or staggered junction,Slight,51.506379,Daylight,South Ribble,H1,-0.204031,1,1,Metropolitan Police,Wet or damp,R2,30,19:53,Urban,W1,Car
200901BS70058,29-01-2021,Thursday,JC_1,Not at junction or within 20 metres,Slight,51.480175,Darkness - lights lit,Preston,H1,-0.178417,1,2,Metropolitan Police,Dry,R2,30,14:05,Urban,W1,Car
200901BS70060,10-02-2021,Tuesday,JC_3,T or staggered junction,Slight,51.491836,Daylight,Blackburn with Darwen,H1,-0.159225,1,2,Metropolitan Police,Dry,R2,30,23:55,Urban,W1,Van / Goods 3.5 tonnes mgw or under
200901BS70061,10-02-2021,Tuesday,JC_2,T or staggered junction,Slight,51.516717,Darkness - lights lit,Hyndburn,H1,-0.209678,1,2,Metropolitan Police,Wet or damp,R2,30,08:35,Urban,W1,Car
200901BS70062,12-02-2021,Thursday,JC_3,T or staggered junction,Serious,51.490115,Daylight,Ribble Valley,H1,-0.193146,1,1,Metropolitan Police,Dry,R2,30,07:53,Urban,W3,Car
200901BS70063,16-02-2021,Monday,JC_2,Not at junction or within 20 metres,Slight,51.508943,Daylight,Burnley,H1,-0.195284,1,1,Metropolitan Police,Dry,R2,30,12:00,Urban,W1,Car
200901BS70064,16-02-2021,Monday,JC_2,T or staggered junction,Slight,51.493264,Daylight,Pendle,H1,-0.199072,1,2,Metropolitan Police,Dry,R3,30,08:25,Urban,W1,Car
200901BS70065,14-02-2021,Saturday,JC_3,Not at junction or within 20 metres,Slight,51.484765,Daylight,Rossendale,H1,-0.155621,1,1,Metropolitan Police,Wet or damp,R2,30,21:06,Urban,W1,Car
200901BS70066,18-02-2021,Wednesday,JC_2,Crossroads,Slight,51.481746,Darkness - lights lit,Wirral,H1,-0.17533,1,2,Metropolitan Police,Wet or damp,R2,30,07:09,Urban,W1,Car
200901BS70067,21-02-2021,Saturday,JC_3,Not at junction or within 20 metres,Slight,51.487666,Daylight,Sefton,H1,-0.180135,2,2,Metropolitan Police,Dry,R2,30,20:42,Urban,W1,Car
200901BS70069,15-02-2021,Sunday,JC_1,T or staggered junction,Slight,51.501516,Darkness - lights lit,St. Helens,H1,-0.191831,1,1,Metropolitan Police,Dry,R2,30,00:35,Urban,W1,Car
200901BS70070,21-02-2021,Saturday,JC_1,T or staggered junction,Slight,51.487794,Darkness - lights lit,Liverpool,H1,-0.182579,1,2,Metropolitan Police,Dry,R1,30,10:15,Urban,W1,Car
200901BS70071,12-02-2021,Thursday,JC_1,Not at junction or within 20 metres,Slight,51.502058,Daylight,Knowsley,H1,-0.18619,1,1,Metropolitan Police,Wet or damp,R2,30,16:50,Urban,W1,Car
200901BS70072,12-02-2021,Thursday,JC_2,T or staggered junction,Slight,51.500994,Darkness - lights lit,Manchester,H1,-0.193004,1,2,Metropolitan Police,Dry,R2,30,12:20,Urban,W1,Car
200901BS70073,20-02-2021,Friday,JC_1,Not at junction or within 20 metres,Slight,51.523977,Daylight,Salford,H1,-0.214006,1,2,Metropolitan Police,Dry,R4,30,23:15,Urban,W1,Car
200901BS70075,27-02-2021,Friday,JC_1,T or staggered junction,Slight,51.484368,Darkness - lights lit,Tameside,H1,-0.170473,1,2,Metropolitan Police,Dry,R2,30,15:40,Urban,W1,Car
200901BS70077,18-01-2021,Sunday,JC_3,T or staggered junction,Slight,51.501169,Daylight,Stockport,H1,-0.192709,1,2,Metropolitan Police,Dry,R2,30,16:46,Urban,W1,Car
200901BS70078,07-02-2021,Saturday,JC_1,T or staggered junction,Slight,51.48299,Darkness - lights lit,Bolton,H1,-0.185939,2,1,Metropolitan Police,Dry,R2,30,12:25,Urban,W1,Car
200901BS70080,23-02-2021,Monday,JC_1,T or staggered junction,Slight,51.515582,Daylight,Wigan,H1,-0.205975,1,1,Metropolitan Police,Dry,R4,30,13:23,Urban,W1,Car
200901BS70086,22-02-2021,Sunday,JC_1,Roundabout,Slight,51.48375,Daylight,Trafford,H1,-0.165456,1,2,Metropolitan Police,Dry,R2,30,17:30,Urban,W1,Van / Goods 3.5 tonnes mgw or under
200901BS70088,26-02-2021,Thursday,JC_1,Crossroads,Slight,51.490919,Darkness - lights lit,Bury,H1,-0.181158,1,1,Metropolitan Police,Dry,R2,30,22:55,Urban,W1,Car
200901BS70089,16-01-2021,Friday,JC_1,Not at junction or within 20 metres,Serious,51.500731,Darkness - lights lit,Rochdale,H1,-0.193447,1,2,Metropolitan Police,Dry,R3,30,16:05,Urban,W1,Car
200901BS70090,18-02-2021,Wednesday,JC_3,T or staggered junction,Slight,51.513804,Daylight,Oldham,H1,-0.213251,2,2,Metropolitan Police,Wet or damp,R2,30,08:36,Urban,W1,Car
200901BS70091,04-03-2021,Wednesday,JC_1,Roundabout,Slight,51.494663,Daylight,Vale Royal,H1,-0.190661,1,1,Metropolitan Police,Dry,R2,30,21:45,Urban,W1,Van / Goods 3.5 tonnes mgw or under
200901BS70092,03-03-2021,Tuesday,JC_1,T or staggered junction,Serious,51.497543,Darkness - lights lit,Crewe and Nantwich,H1,-0.16764,1,1,Metropolitan Police,Dry,R3,30,08:55,Urban,W1,Car
200901BS70093,03-03-2021,Tuesday,JC_1,T or staggered junction,Slight,51.517475,Daylight,Halton,H1,-0.206333,2,1,Metropolitan Police,Dry,R2,30,08:30,Urban,W2,Car
200901BS70094,03-03-2021,Tuesday,JC_1,T or staggered junction,Slight,51.485759,Daylight,Chester,H1,-0.173154,1,2,Metropolitan Police,Wet or damp,R2,30,20:20,Urban,W1,Car
200901BS70095,04-03-2021,Wednesday,JC_1,Not at junction or within 20 metres,Slight,51.517796,Darkness - lights lit,Cheshire East,H1,-0.215545,3,2,Metropolitan Police,Dry,R4,30,14:51,Urban,W1,Van / Goods 3.5 tonnes mgw or under
200901BS70096,06-03-2021,Friday,JC_2,T or staggered junction,Slight,51.497048,Daylight,Warrington,H1,-0.159015,1,1,Metropolitan Police,Dry,R2,30,06:35,Urban,W1,Car
200901BS70097,17-02-2021,Tuesday,JC_1,T or staggered junction,Slight,51.497103,Daylight,Crewe and ntwich,H1,-0.168234,1,2,Metropolitan Police,Dry,R2,30,19:11,Urban,W3,Car
200901BS70099,03-03-2021,Tuesday,JC_1,Crossroads,Slight,51.512346,Darkness - lights lit,Cheshire West and Chester,H1,-0.21792,1,1,Metropolitan Police,Wet or damp,R2,30,20:26,Urban,W1,Car
200901BS70100,20-02-2021,Friday,JC_2,Crossroads,Serious,51.485757,Darkness - lights lit,Congleton,H1,-0.150108,1,1,Metropolitan Police,Dry,R2,30,11:30,Urban,W1,Car
200901BS70101,18-02-2021,Wednesday,JC_3,Crossroads,Serious,51.500856,Daylight,Ellesmere Port and Neston,H1,-0.184076,1,2,Metropolitan Police,Dry,R2,30,13:00,Urban,W1,Car
200901BS70102,09-03-2021,Monday,JC_2,T or staggered junction,Slight,51.492471,Daylight,Wansbeck,H1,-0.200112,1,2,Metropolitan Police,Dry,R2,30,13:27,Urban,W3,Car
200901BS70107,09-03-2021,Monday,JC_3,T or staggered junction,Slight,51.518131,Daylight,Blyth Valley,H1,-0.213947,1,2,Metropolitan Police,Dry,R2,30,15:30,Urban,W1,Car
200901BS70108,10-03-2021,Tuesday,JC_1,Crossroads,Slight,51.504784,Daylight,North Tyneside,H1,-0.21735,1,2,Metropolitan Police,Dry,R4,30,13:30,Urban,W1,Motorcycle over 500cc
200901BS70109,10-02-2021,Tuesday,JC_2,Not at junction or within 20 metres,Slight,51.483345,Daylight,Newcastle upon Tyne,H1,-0.185636,1,2,Metropolitan Police,Dry,R1,30,16:50,Urban,W1,Car
200901BS70110,09-03-2021,Monday,JC_2,Crossroads,Serious,51.48115,Daylight,Tynedale,H1,-0.183275,1,2,Metropolitan Police,Dry,R2,30,10:40,Urban,W1,Motorcycle 125cc and under
200901BS70111,02-03-2021,Monday,JC_1,Not at junction or within 20 metres,Slight,51.49266,Daylight,Alnwick,H1,-0.160201,1,2,Metropolitan Police,Dry,R2,30,07:40,Urban,W1,Taxi/Private hire car
200901BS70112,25-02-2021,Wednesday,JC_1,Roundabout,Slight,51.491935,Daylight,South Tyneside,H1,-0.194515,1,2,Metropolitan Police,Dry,R1,30,12:58,Urban,W1,Car
200901BS70113,06-03-2021,Friday,JC_1,Crossroads,Slight,51.482328,Daylight,Gateshead,H1,-0.172282,2,2,Metropolitan Police,Dry,R2,30,17:30,Urban,W1,Car
200901BS70115,14-03-2021,Saturday,JC_2,Crossroads,Slight,51.481572,Darkness - lights lit,Castle Morpeth,H1,-0.18153,1,1,Metropolitan Police,Dry,R2,30,17:04,Urban,W1,Car
200901BS70116,20-02-2021,Friday,JC_1,Crossroads,Slight,51.49892,Daylight,Sunderland,H1,-0.157931,1,2,Metropolitan Police,Dry,R2,30,18:15,Urban,W1,Car
200901BS70117,09-03-2021,Monday,JC_1,T or staggered junction,Slight,51.490315,Darkness - lights lit,Berwick-upon-Tweed,H1,-0.177005,1,2,Metropolitan Police,Dry,R2,30,15:53,Urban,W1,Car
200901BS70118,26-02-2021,Thursday,JC_2,T or staggered junction,Slight,51.484361,Daylight,Northumberland,H1,-0.175802,1,1,Metropolitan Police,Dry,R2,30,13:45,Urban,W1,Car
200901BS70119,28-02-2021,Saturday,JC_2,Crossroads,Slight,51.489535,Daylight,Durham,H1,-0.155861,1,2,Metropolitan Police,Dry,R2,30,06:12,Urban,W1,Car
200901BS70120,23-02-2021,Monday,JC_3,T or staggered junction,Slight,51.493429,Darkness - lights lit,County Durham,H1,-0.174864,1,2,Metropolitan Police,Dry,R2,30,12:33,Urban,W1,Car
200901BS70121,11-02-2021,Wednesday,JC_1,Crossroads,Slight,51.488481,Daylight,Easington,H1,-0.157488,1,2,Metropolitan Police,Dry,R2,30,08:40,Urban,W1,Car
200901BS70122,01-03-2021,Sunday,JC_2,Crossroads,Slight,51.484361,Daylight,Chester-le-Street,H1,-0.175802,1,2,Metropolitan Police,Dry,R2,30,13:05,Urban,W1,Car
200901BS70123,13-03-2021,Friday,JC_1,Crossroads,Serious,51.483603,Daylight,Derwentside,H1,-0.184906,1,2,Metropolitan Police,Dry,R2,30,17:30,Urban,W1,Car
200901BS70124,04-03-2021,Wednesday,JC_2,Not at junction or within 20 metres,Slight,51.486622,Daylight,Wear Valley,H1,-0.170814,1,2,Metropolitan Police,Wet or damp,R2,30,07:05,Urban,W1,Car
200901BS70126,07-02-2021,Saturday,JC_1,Crossroads,Slight,51.504966,Daylight,Teesdale,H1,-0.194,1,1,Metropolitan Police,Dry,R2,30,13:15,Urban,W1,Car
200901BS70128,17-03-2021,Tuesday,JC_2,Crossroads,Slight,51.49566,Daylight,Darlington,H1,-0.173766,1,2,Metropolitan Police,Dry,R2,30,23:00,Urban,W1,Car
200901BS70129,24-02-2021,Tuesday,JC_1,T or staggered junction,Slight,51.490535,Darkness - lights lit,Sedgefield,H1,-0.173827,1,2,Metropolitan Police,Dry,R2,30,08:00,Urban,W1,Car
200901BS70130,20-03-2021,Friday,JC_1,T or staggered junction,Slight,51.486213,Daylight,Hambleton,H1,-0.173423,1,2,Metropolitan Police,Dry,R2,30,08:59,Urban,W2,Van / Goods 3.5 tonnes mgw or under
200901BS70131,05-02-2021,Thursday,JC_1,Crossroads,Serious,51.506775,Daylight,York,H1,-0.194649,1,2,Metropolitan Police,Wet or damp,R2,30,08:40,Urban,W1,Van / Goods 3.5 tonnes mgw or under
200901BS70133,20-03-2021,Friday,JC_3,Crossroads,Slight,51.486977,Daylight,Craven,H1,-0.187941,1,2,Metropolitan Police,Dry,R1,30,20:18,Urban,W1,Car
200901BS70134,20-03-2021,Friday,JC_1,T or staggered junction,Slight,51.509794,Darkness - lights lit,Richmondshire,H1,-0.197988,1,1,Metropolitan Police,Dry,R2,30,15:00,Urban,W1,Car
200901BS70135,20-01-2021,Tuesday,JC_2,T or staggered junction,Slight,51.492565,Daylight,Scarborough,H1,-0.200396,2,2,Metropolitan Police,Dry,R2,30,22:15,Urban,W3,Car
200901BS70136,21-03-2021,Saturday,JC_3,T or staggered junction,Serious,51.486608,Darkness - lights lit,Selby,H1,-0.169951,1,2,Metropolitan Police,Dry,R2,30,16:20,Urban,W1,Bus or coach (17 or more pass seats)
200901BS70137,24-03-2021,Tuesday,JC_1,Not at junction or within 20 metres,Slight,51.485669,Daylight,Harrogate,H1,-0.173157,1,2,Metropolitan Police,Dry,R2,30,10:15,Urban,W1,Van / Goods 3.5 tonnes mgw or under
200901BS70138,23-03-2021,Monday,JC_1,T or staggered junction,Slight,51.488776,Daylight,Ryedale,H1,-0.176346,1,2,Metropolitan Police,Dry,R2,30,08:15,Urban,W1,Car
200901BS70139,23-03-2021,Monday,JC_2,Crossroads,Slight,51.48226,Daylight,Calderdale,H1,-0.173725,1,2,Metropolitan Police,Wet or damp,R2,30,16:13,Urban,W1,Car
200901BS70140,23-03-2021,Monday,JC_2,Not at junction or within 20 metres,Slight,51.483642,Daylight,Bradford,H1,-0.164308,1,2,Metropolitan Police,Dry,R2,30,19:42,Urban,W1,Taxi/Private hire car
200901BS70141,24-03-2021,Tuesday,JC_1,Crossroads,Slight,51.491834,Darkness - lights lit,Wakefield,H1,-0.164844,1,2,Metropolitan Police,Wet or damp,R2,30,22:22,Urban,W1,Motorcycle 125cc and under
200901BS70142,24-03-2021,Tuesday,JC_3,T or staggered junction,Serious,51.491921,Darkness - lights lit,Leeds,H1,-0.158934,1,1,Metropolitan Police,Dry,R2,30,14:12,Urban,W3,Motorcycle 50cc and under
200901BS70143,24-03-2021,Tuesday,JC_3,Crossroads,Serious,51.520593,Daylight,Kirklees,H1,-0.210247,1,1,Metropolitan Police,Dry,R2,30,07:53,Urban,W1,Motorcycle 125cc and under
200901BS70144,21-03-2021,Saturday,JC_1,T or staggered junction,Slight,51.486624,Daylight,Doncaster,H1,-0.170958,1,2,Metropolitan Police,Dry,R2,30,09:50,Urban,W3,Motorcycle over 500cc
200901BS70145,25-03-2021,Wednesday,JC_3,Crossroads,Slight,51.516402,Daylight,Rotherham,H1,-0.218482,1,2,Metropolitan Police,Dry,R2,30,15:50,Urban,W1,Car
200901BS70146,27-03-2021,Friday,JC_2,Not at junction or within 20 metres,Slight,51.489535,Daylight,Barnsley,H1,-0.155861,1,1,Metropolitan Police,Dry,R2,30,20:15,Urban,W1,Car
200901BS70147,28-03-2021,Saturday,JC_1,Not at junction or within 20 metres,Slight,51.489744,Darkness - lights lit,Sheffield,H1,-0.175011,1,3,Metropolitan Police,Dry,R2,30,12:40,Urban,W1,Car
200901BS70148,27-03-2021,Friday,JC_1,T or staggered junction,Slight,51.49266,Daylight,North East Lincolnshire,H1,-0.160201,1,1,Metropolitan Police,Dry,R2,30,10:00,Urban,W1,Motorcycle 125cc and under
200901BS70149,28-03-2021,Saturday,JC_1,Not at junction or within 20 metres,Slight,51.506957,Daylight,North Lincolnshire,H1,-0.194786,1,2,Metropolitan Police,Dry,R2,30,05:30,Urban,W1,Car
200901BS70150,28-03-2021,Saturday,JC_3,Crossroads,Slight,51.493541,Daylight,East Riding of Yorkshire,H1,-0.182062,1,3,Metropolitan Police,Dry,R2,30,06:30,Urban,W1,Car
200901BS70151,28-03-2021,Saturday,JC_3,T or staggered junction,Slight,51.486183,Daylight,"Kingston upon Hull, City of",H1,-0.183075,1,2,Metropolitan Police,Wet or damp,R2,30,17:21,Urban,W1,Goods 7.5 tonnes mgw and over
200901BS70152,18-03-2021,Wednesday,JC_1,Crossroads,Serious,51.497815,Daylight,Hartlepool,H1,-0.202639,1,2,Metropolitan Police,Dry,R2,30,19:49,Urban,W1,Car
200901BS70153,28-03-2021,Saturday,JC_1,T or staggered junction,Slight,51.502755,Darkness - lights lit,Redcar and Cleveland,H1,-0.196393,2,1,Metropolitan Police,Wet or damp,R2,30,16:35,Urban,W1,Car
200901BS70154,24-03-2021,Tuesday,JC_1,Not at junction or within 20 metres,Slight,51.487635,Daylight,Middlesbrough,H1,-0.17812,1,1,Metropolitan Police,Dry,R2,30,07:55,Urban,W3,Car
200901BS70155,30-03-2021,Monday,JC_1,Not at junction or within 20 metres,Slight,51.498814,Daylight,Stockton-on-Tees,H1,-0.179979,1,1,Metropolitan Police,Dry,R2,30,19:35,Urban,W1,Car
200901BS70156,13-03-2021,Friday,JC_2,T or staggered junction,Slight,51.501571,Daylight,Birmingham,H1,-0.160706,1,1,Metropolitan Police,Dry,R2,30,15:00,Urban,W1,Car
200901BS70157,01-04-2021,Wednesday,JC_3,Crossroads,Slight,51.493723,Daylight,Wolverhampton,H1,-0.182199,1,1,Metropolitan Police,Dry,R2,30,08:59,Urban,W1,Car
200901BS70159,31-03-2021,Tuesday,JC_1,T or staggered junction,Slight,51.482582,Daylight,Walsall,H1,-0.171264,1,2,Metropolitan Police,Dry,R2,30,07:15,Urban,W1,Car
200901BS70160,31-03-2021,Tuesday,JC_1,More than 4 arms (not roundabout),Slight,51.506189,Daylight,Dudley,H1,-0.209226,1,2,Metropolitan Police,Dry,R2,30,16:25,Urban,W1,Car
200901BS70161,27-03-2021,Friday,JC_1,Not at junction or within 20 metres,Slight,51.482902,Daylight,Sandwell,H1,-0.186086,1,2,Metropolitan Police,Dry,R2,30,07:05,Urban,W1,Car
200901BS70163,03-04-2021,Friday,JC_2,T or staggered junction,Slight,51.513129,Daylight,Solihull,H1,-0.204342,1,1,Metropolitan Police,Dry,R2,30,07:15,Urban,W1,Car
